,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,For Wolverhampton Wanderers,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
31,2020-06-20,17:30 (18:30),Matchweek 30,Sat,Away,W,2,0,West Ham,447,557,80.3,8576,2712,188,223,84.3,183,203,90.1,70,104,67.3,2,1.0,0.9,9,31,12,4,28,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Home,W,1,0,Bournemouth,377,474,79.5,7058,2466,159,174,91.4,156,177,88.1,47,88,53.4,1,1.5,0.8,6,29,2,1,19,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Away,W,1,0,Aston Villa,396,501,79.0,7571,2887,172,198,86.9,124,146,84.9,74,103,71.8,1,0.5,0.5,7,29,5,1,26,Match Report
34,2020-07-04,17:30 (18:30),Matchweek 33,Sat,Home,L,0,2,Arsenal,471,563,83.7,8656,3043,212,226,93.8,191,220,86.8,59,96,61.5,0,1.2,1.1,10,28,10,3,21,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Away,L,0,1,Sheffield Utd,463,583,79.4,8512,2751,186,230,80.9,201,229,87.8,57,93,61.3,0,0.3,0.4,4,23,3,2,19,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Home,W,3,0,Everton,506,598,84.6,9596,2983,189,215,87.9,237,265,89.4,63,87,72.4,2,1.6,0.6,10,26,4,0,27,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Away,D,1,1,Burnley,340,458,74.2,6414,2393,148,176,84.1,137,161,85.1,47,92,51.1,0,1.0,0.9,10,24,5,1,26,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Home,W,2,0,Crystal Palace,401,504,79.6,7897,2950,163,176,92.6,167,203,82.3,63,99,63.6,1,1.3,1.1,8,36,4,2,24,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,L,0,2,Chelsea,281,410,68.5,5362,2396,123,162,75.9,111,144,77.1,37,81,45.7,0,0.2,0.3,4,20,3,0,26,Match Report
40,,,,,,15-14-9,51,40,,14298,18474,77.4,266628,97050,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.7,30.0,339,1015,223,83,959,
