,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,2,0,Crystal Palace,1.1,0.6,55,23739,Pierre Højbjerg,4-4-2,Andre Marriner,Match Report,
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,0,4,Liverpool,0.8,3.2,38,53291,Pierre Højbjerg,4-4-2,Kevin Friend,Match Report,
25,2020-02-15,12:30 (14:30),Matchweek 26,Sat,Home,L,1,2,Burnley,0.8,0.8,62,26302,Pierre Højbjerg,4-2-2-2,Simon Hooper,Match Report,
26,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,2,0,Aston Villa,2.6,0.5,46,31478,Pierre Højbjerg,4-4-2,Craig Pawson,Match Report,
27,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Away,L,1,3,West Ham,0.7,2.3,65,59962,Pierre Højbjerg,4-4-2,Anthony Taylor,Match Report,
28,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,L,0,1,Newcastle Utd,0.6,2.8,39,30096,Pierre Højbjerg,4-4-2,Graham Scott,Match Report,
29,2020-06-19,18:00 (19:00),Matchweek 30,Fri,Away,W,3,0,Norwich City,1.7,0.6,46,,James Ward-Prowse,4-4-2,Kevin Friend,Match Report,
30,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
31,2020-06-25,18:00 (19:00),Matchweek 31,Thu,Home,L,0,2,Arsenal,0.9,1.9,53,,James Ward-Prowse,4-4-2,Graham Scott,Match Report,
32,2020-06-28,16:30 (17:30),Matchweek 32,Sun,Away,W,3,1,Watford,1.3,0.5,52,,James Ward-Prowse,4-4-2,Michael Oliver,Match Report,
33,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Home,W,1,0,Manchester City,0.6,3.2,27,,James Ward-Prowse,4-4-2,Andre Marriner,Match Report,
34,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Away,D,1,1,Everton,2.4,1.0,61,,James Ward-Prowse,4-4-2,Lee Mason,Match Report,
35,2020-07-13,20:00 (21:00),Matchweek 35,Mon,Away,D,2,2,Manchester Utd,1.6,1.5,52,,James Ward-Prowse,4-4-2,Chris Kavanagh,Match Report,
36,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,D,1,1,Brighton,2.5,0.7,67,,James Ward-Prowse,4-4-2,Andre Marriner,Match Report,
37,2020-07-19,14:00 (15:00),Matchweek 37,Sun,Away,W,2,0,Bournemouth,2.5,0.5,56,,James Ward-Prowse,4-4-2,Craig Pawson,Match Report,
38,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,3,1,Sheffield Utd,1.7,1.4,72,,James Ward-Prowse,4-4-2,Peter Bankes,Match Report,
