,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
53,52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,30.5,47,29,22,15,10,26,58,44.8,32,27,12,15,37,84,31,1,Matches
54,53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,2.8,8,6,4,4,0,2,5,40.0,3,4,0,4,1,9,6,0,Matches
55,54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,72,46,30,37,5,17,65,26.2,48,59,16,43,66,138,97,1,Matches
56,55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14.0,49,38,24,22,3,17,40,42.5,23,18,2,16,21,70,23,0,Matches
57,56,Willy Boly,ci CIV,DF,Wolves,28,1991,22.0,57,33,36,21,0,25,43,58.1,18,28,11,17,39,96,108,3,Matches
58,57,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,0.7,1,0,0,0,1,0,0,,0,1,1,0,0,1,0,0,Matches
59,58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,16,8,6,5,5,6,15,40.0,9,17,0,17,4,20,1,0,Matches
60,59,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,10.2,19,15,7,9,3,4,17,23.5,13,6,0,6,16,35,8,0,Matches
61,60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5.0,11,9,5,4,2,3,10,30.0,7,10,2,8,5,16,8,0,Matches
62,61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,8,7,5,3,0,3,5,60.0,2,6,3,3,2,10,12,0,Matches
63,62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
64,63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
65,64,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,5.6,5,5,1,2,2,2,14,14.3,12,5,1,4,2,7,1,0,Matches
66,65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,14,8,5,7,2,5,13,38.5,8,9,4,5,14,28,18,0,Matches
67,66,Emi Buendía,ar ARG,MF,Norwich City,22,1996,27.4,82,39,57,21,4,38,118,32.2,80,58,5,53,23,105,32,2,Matches
68,67,Dan Burn,eng ENG,DF,Brighton,27,1992,32.0,67,42,35,27,5,25,53,47.2,28,44,20,24,42,109,130,0,Matches
69,68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,40,22,24,11,5,18,37,48.6,19,16,8,8,26,66,73,0,Matches
70,69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
71,70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,15,8,11,4,0,7,15,46.7,8,34,25,9,18,33,114,1,Matches
72,71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,7,5,1,4,2,1,10,10.0,9,15,2,13,6,13,36,0,Matches
73,72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
74,73,João Cancelo,pt POR,DF,Manchester City,25,1994,13.4,40,24,21,12,7,24,40,60.0,16,9,2,7,21,61,18,0,Matches
75,74,Todd Cantwell,eng ENG,MF,Norwich City,21,1998,27.7,51,31,19,27,5,26,73,35.6,47,38,2,36,18,69,35,1,Matches
76,75,Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,75,40,38,30,7,37,85,43.5,48,30,11,19,68,143,61,0,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
78,76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,5,3,3,2,0,2,8,25.0,6,2,1,1,2,7,24,1,Matches
79,77,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,32.1,91,55,54,26,11,29,82,35.4,53,45,10,35,53,144,45,2,Matches
80,78,Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,41,26,25,15,1,10,24,41.7,14,19,16,3,25,66,136,1,Matches
81,79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,45,23,26,14,5,18,61,29.5,43,14,3,11,32,77,16,1,Matches
82,80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,30,11,13,13,4,12,27,44.4,15,10,4,6,18,48,20,0,Matches
83,81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,26,10,12,8,6,11,16,68.8,5,13,7,6,16,42,43,1,Matches
84,82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,43,26,28,13,2,23,52,44.2,29,30,6,24,28,71,68,2,Matches
85,83,Tahith Chong,nl NED,"MF,DF",Manchester Utd,19,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,17,8,7,8,2,3,25,12.0,22,15,6,9,24,41,13,0,Matches
87,85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,38,21,25,12,1,15,21,71.4,6,12,8,4,29,67,56,0,Matches
88,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,20,12,18,2,0,9,15,60.0,6,18,14,4,11,31,82,0,Matches
89,87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
90,88,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,28,15,8,14,6,9,36,25.0,27,13,1,12,10,38,15,0,Matches
91,89,Conor Coady,eng ENG,DF,Wolves,26,1993,38.0,36,23,30,6,0,15,30,50.0,15,22,15,7,28,64,119,2,Matches
92,90,Séamus Coleman,ie IRL,DF,Everton,30,1988,20.4,42,31,24,14,4,19,25,76.0,6,21,9,12,24,66,43,1,Matches
93,91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,14.0,7,6,1,4,2,3,10,30.0,7,11,0,11,0,7,3,0,Matches
94,92,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,15.0,27,14,15,9,3,10,47,21.3,37,17,5,12,17,44,17,1,Matches
95,93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,27.0,22,11,18,4,0,8,20,40.0,12,32,23,9,44,66,153,1,Matches
96,94,Jack Cork,eng ENG,MF,Burnley,30,1989,29.0,35,24,10,20,5,12,62,19.4,50,34,12,22,28,63,49,0,Matches
97,95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,43,26,21,18,4,23,46,50.0,23,33,10,23,35,78,75,2,Matches
98,96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,4,2,2,1,1,1,5,20.0,4,1,1,0,2,6,1,0,Matches
99,97,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,0.7,3,2,3,0,0,3,4,75.0,1,1,0,1,2,5,1,0,Matches
100,98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,5,1,Matches
101,99,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,8,4,7,1,0,8,14,57.1,6,9,7,2,14,22,67,0,Matches
102,100,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,6,4,3,3,0,4,7,57.1,3,7,3,4,2,8,7,0,Matches
103,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
104,101,Ben Davies,wls WAL,DF,Tottenham,26,1993,15.9,28,15,13,11,4,7,21,33.3,14,28,12,16,22,50,47,0,Matches
105,102,Tom Davies,eng ENG,MF,Everton,21,1998,22.5,38,17,12,22,4,17,55,30.9,38,12,4,8,35,73,28,0,Matches
106,103,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,1,1,0,1,0,0,3,0.0,3,4,0,4,0,1,3,0,Matches
107,104,Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,29,18,16,13,0,17,31,54.8,14,41,32,9,34,63,116,0,Matches
108,105,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31.0,45,24,8,20,17,18,66,27.3,48,26,4,22,18,63,24,2,Matches
109,106,Troy Deeney,eng ENG,FW,Watford,31,1988,24.7,19,12,6,10,3,6,29,20.7,23,13,1,12,11,30,27,0,Matches
110,107,Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,26,12,10,13,3,9,22,40.9,13,12,3,9,15,41,19,1,Matches
111,108,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,31.1,68,31,41,19,8,28,67,41.8,39,39,12,27,38,106,64,2,Matches
112,109,Gerard Deulofeu,es ESP,"MF,FW",Watford,25,1994,23.3,33,16,18,9,6,12,59,20.3,47,10,0,10,25,58,6,0,Matches
