,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 32_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
54,53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.06,0.03,0.08,0.06,0.08,Matches
55,54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2530,28.1,1,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.0,2.0,1.7,3.6,0.07,0.06,0.13,0.07,0.13,Matches
56,55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1259,14.0,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
57,56,Willy Boly,ci CIV,DF,Wolves,28,1991,22,22,1979,22.0,0,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.1,1.5,0.02,0.05,0.07,0.02,0.07,Matches
58,57,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,4,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.34,0.34,0.00,0.34,Matches
59,58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,20,8,764,8.5,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.9,3.9,0.12,0.34,0.46,0.12,0.46,Matches
60,59,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,13,11,917,10.2,1,4,1,0,0,0,0,0.10,0.39,0.49,0.10,0.49,2.3,2.3,2.7,5.0,0.22,0.27,0.49,0.22,0.49,Matches
61,60,Robbie Brady,ie IRL,MF,Burnley,27,1992,17,5,454,5.0,1,2,1,0,0,1,0,0.20,0.40,0.59,0.20,0.59,1.1,1.1,0.4,1.5,0.22,0.07,0.29,0.22,0.29,Matches
62,61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,63,Armando Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
65,64,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,9,8,506,5.6,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.5,0.5,0.3,0.8,0.08,0.05,0.14,0.08,0.14,Matches
66,65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.06,0.02,0.08,0.06,0.08,Matches
67,66,Emi Buendía,ar ARG,MF,Norwich City,22,1996,36,28,2464,27.4,1,7,1,0,0,6,1,0.04,0.26,0.29,0.04,0.29,2.2,2.2,6.8,9.0,0.08,0.25,0.33,0.08,0.33,Matches
68,67,Dan Burn,eng ENG,DF,Brighton,27,1992,34,33,2880,32.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.3,2.5,0.04,0.04,0.08,0.04,0.08,Matches
69,68,Sam Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293,14.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.4,1.7,0.10,0.03,0.12,0.10,0.12,Matches
70,69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
71,70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,2167,24.1,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.6,1.6,0.2,1.8,0.06,0.01,0.07,0.06,0.07,Matches
72,71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,2626,29.2,13,1,13,0,0,9,0,0.45,0.03,0.48,0.45,0.48,15.3,15.3,1.5,16.8,0.52,0.05,0.57,0.52,0.57,Matches
73,72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,73,João Cancelo,pt POR,DF,Manchester City,25,1994,17,13,1208,13.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,2.8,3.3,0.04,0.21,0.25,0.04,0.25,Matches
75,74,Todd Cantwell,eng ENG,MF,Norwich City,21,1998,37,30,2489,27.7,6,2,6,0,0,6,0,0.22,0.07,0.29,0.22,0.29,5.4,5.4,1.9,7.3,0.19,0.07,0.26,0.19,0.26,Matches
76,75,Étienne Capoue,fr FRA,MF,Watford,31,1988,30,30,2627,29.2,0,3,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,3.3,4.1,0.03,0.11,0.14,0.03,0.14,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
78,76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,7.0,0,4,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,1.2,1.2,1.4,2.6,0.17,0.20,0.37,0.17,0.37,Matches
79,77,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,35,33,2887,32.1,2,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.3,2.8,0.05,0.04,0.09,0.05,0.09,Matches
80,78,Craig Cathcart,nir NIR,DF,Watford,30,1989,29,28,2488,27.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches
81,79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,24,18,1692,18.8,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.8,2.3,0.03,0.09,0.12,0.03,0.12,Matches
82,80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,10.3,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.3,1.7,0.04,0.12,0.17,0.04,0.17,Matches
83,81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1102,12.2,1,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,1.6,2.4,0.06,0.13,0.20,0.06,0.20,Matches
84,82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,2373,26.4,3,3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,1.0,1.0,3.9,4.9,0.04,0.15,0.19,0.04,0.19,Matches
85,83,Tahith Chong,nl NED,"MF,DF",Manchester Utd,19,1999,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches
86,84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,20,10,893,9.9,1,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,Matches
87,85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,1751,19.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.9,1.4,0.03,0.05,0.07,0.03,0.07,Matches
