,Date,Time,Round,Day,Team,Venue,Result,GF,GA,Opponent,xG,xGA,Attendance,Captain,Formation,Referee,Standard | Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Standard | PK,Standard | PKatt,Expected | xG,Expected | npxG,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG,Performance | SoTA,Performance | GA,Performance | Saves,Performance | Save%,Performance | CS,Performance | PSxG,Performance | PSxG+/-,Penalty Kicks | PKatt,Penalty Kicks | PKA,Penalty Kicks | PKsv,Penalty Kicks | PKm,Launched | Cmp,Launched | Att,Launched | Cmp%,Passes | Att,Passes | Thr,Passes | Launch%,Passes | AvgLen,Goal Kicks | Att,Goal Kicks | Launch%,Goal Kicks | AvgLen,Crosses | Opp,Crosses | Stp,Crosses | Stp%,Sweeper | #OPA,Sweeper | AvgDist,Total | Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA Types | SCA,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA Types | GCA,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Performance | CrdY,Performance | CrdR,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Performance | Crs,Performance | Int,Performance | TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Poss
10,2021-11-06,12:30:00,11,Sat,Manchester City,Away,W,2,0,Manchester Utd,2.3,0.8,73086,Ilkay Gundogan,4-3-3,Michael Oliver,1,16,5,31.3,0.06,0.2,14.7,0,0,0,2.3,2.3,0.15,-1.3,-1.3,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,2,50.0,21,0,9.5,22.0,5,0.0,20.8,7,0,0.0,0,0.0,775,862,89.9,13710,3923,353,379,93.1,335,362,92.5,75,96,78.1,1,1.7,1.6,13,81,7,2,42,862,824,37,12,1,9,19,10,9,0,5,0,775,1,8,29,21,2,1,5,0,0,2,2,0,0,0,0,0,12,6,3,7,2,6,10,60.0,4,12,1,11,6,18,7,0,934,47,166,472,298,30,934,11,19,57.9,13,10,770,40,2,0,0,12,9,1,19,6,6,0,0,0,50,10,9,52.6,67
11,2021-11-21,14:00:00,12,Sun,Manchester City,Home,W,3,0,Everton,2.6,0.2,52571,Ilkay Gundogan,4-3-3,Stuart Attwell,3,17,7,41.2,0.18,0.43,16.4,1,0,0,2.6,2.6,0.15,0.4,0.4,1,0,1,100.0,1,0.0,0.0,0,0,0,0,0,0,0.0,24,7,0.0,18.6,0,0.0,0.0,10,2,20.0,3,24.4,830,906,91.6,13497,3518,418,433,96.5,342,364,94.0,49,70,70.0,1,2.0,2.2,11,80,21,2,47,906,877,29,8,5,7,25,13,7,5,0,0,830,0,10,28,23,0,0,3,1,1,3,2,0,0,1,0,0,15,7,8,4,3,8,18,44.4,10,11,3,8,8,23,8,0,998,43,133,573,299,34,998,8,15,53.3,22,11,821,47,1,0,0,5,7,0,25,8,7,0,0,0,46,15,5,75.0,77
12,2021-11-28,14:00:00,13,Sun,Manchester City,Home,W,2,1,West Ham,2.4,0.2,53245,Ilkay Gundogan,4-3-3,Michael Oliver,2,19,8,42.1,0.11,0.25,16.0,0,0,0,2.4,2.4,0.13,-0.4,-0.4,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,3,5,60.0,40,7,10.0,21.7,2,50.0,38.0,13,2,15.4,0,6.3,680,770,88.3,10910,3313,348,380,91.6,263,287,91.6,52,71,73.2,1,1.4,0.9,15,58,14,1,45,770,732,34,10,1,4,19,12,8,6,0,0,680,4,5,35,29,3,1,2,0,0,3,2,0,0,1,0,0,15,8,6,6,3,6,17,35.3,11,7,1,6,5,20,12,0,868,59,208,438,228,28,868,6,15,40.0,14,7,669,42,2,0,0,7,6,4,19,5,8,0,0,0,58,11,13,45.8,68
13,2021-12-01,20:15:00,14,Wed,Manchester City,Away,W,2,1,Aston Villa,1.2,0.9,41400,Fernandinho,4-2-3-1,Mike Dean,2,17,7,41.2,0.12,0.29,19.2,1,0,0,1.2,1.2,0.07,0.8,0.8,3,1,2,66.7,0,1.5,0.5,0,0,0,0,3,6,50.0,16,0,31.3,35.1,4,25.0,35.8,12,0,0.0,2,21.0,565,645,87.6,9624,2650,274,287,95.5,224,249,90.0,47,64,73.4,2,0.9,0.6,11,41,11,1,30,645,605,40,8,1,9,18,16,10,6,0,0,565,0,11,29,22,2,4,0,1,0,4,4,0,0,0,0,0,11,9,3,6,2,5,10,50.0,5,7,3,4,9,20,14,0,734,54,169,320,247,36,734,11,22,50.0,8,14,561,30,0,0,0,12,8,0,18,9,9,0,0,0,54,10,15,40.0,64
14,2021-12-04,17:30:00,15,Sat,Manchester City,Away,W,3,1,Watford,3.5,0.9,20673,Ilkay Gundogan,4-3-3,Simon Hooper,3,26,12,46.2,0.12,0.25,14.4,0,0,0,3.5,3.5,0.14,-0.5,-0.5,4,1,3,75.0,0,1.6,0.6,0,0,0,0,3,4,75.0,28,6,10.7,22.3,6,16.7,26.8,13,1,7.7,1,14.0,784,869,90.2,14154,4376,340,369,92.1,379,399,95.0,64,94,68.1,2,3.2,2.0,22,81,15,0,60,869,827,41,11,0,5,21,11,11,9,1,0,784,1,3,47,37,4,2,4,0,0,5,4,0,0,1,0,0,15,8,8,2,5,9,13,69.2,4,6,1,5,13,28,7,0,974,57,198,512,268,65,974,8,20,40.0,21,3,777,60,0,0,0,7,11,1,21,13,8,0,0,0,58,12,11,52.2,77
15,2021-12-11,12:30:00,16,Sat,Manchester City,Home,W,1,0,Wolves,3.5,0.1,52613,Ilkay Gundogan,4-3-3,Jonathan Moss,1,23,8,34.8,0.0,0.0,15.7,0,1,1,3.5,2.7,0.12,-2.5,-2.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,3,3,100.0,20,5,15.0,25.9,1,0.0,24.0,4,0,0.0,1,33.0,711,804,88.4,12285,3722,326,357,91.3,304,331,91.8,68,81,84.0,0,2.3,2.5,19,82,25,5,61,804,764,39,4,1,6,33,19,14,4,4,0,711,1,16,44,39,3,0,2,0,0,1,1,0,0,0,0,0,11,8,2,7,2,8,19,42.1,11,9,0,9,12,23,1,0,888,21,92,436,364,49,887,9,18,50.0,12,5,700,60,3,0,0,12,4,1,33,12,8,0,0,0,62,10,10,50.0,71
16,2021-12-14,20:00:00,17,Tue,Manchester City,Home,W,7,0,Leeds United,3.2,0.3,52401,Ruben Dias,4-2-3-1,Paul Tierney,7,31,15,48.4,0.23,0.47,17.3,2,0,0,3.2,3.2,0.11,3.8,3.8,3,0,3,100.0,1,0.1,0.1,0,0,0,0,0,0,0.0,38,6,0.0,18.6,4,0.0,15.3,6,0,0.0,3,20.6,577,640,90.2,9769,2921,257,278,92.4,277,296,93.6,35,48,72.9,5,2.6,1.7,24,39,19,2,46,640,613,26,7,8,2,17,8,6,2,3,0,577,1,9,52,41,1,3,3,3,1,10,8,1,0,1,0,0,12,5,3,5,4,3,11,27.3,8,13,1,12,9,21,12,0,751,50,152,373,237,41,751,17,31,54.8,9,1,567,45,1,0,0,5,9,1,17,9,5,0,0,0,49,8,3,72.7,63
17,2021-12-19,14:15:00,18,Sun,Manchester City,Away,W,4,0,Newcastle Utd,2.9,0.4,52127,Ruben Dias,4-2-3-1,Martin Atkinson,4,18,7,38.9,0.22,0.57,12.9,0,0,0,2.9,2.9,0.17,1.1,1.1,1,0,1,100.0,1,0.2,0.2,0,0,0,0,7,10,70.0,26,4,26.9,29.9,7,42.9,32.4,9,2,22.2,2,19.0,670,742,90.3,10709,2962,349,362,96.4,250,272,91.9,52,76,68.4,4,2.9,2.6,17,48,7,1,31,742,698,42,13,3,2,12,15,6,5,0,0,670,2,7,37,24,4,4,2,1,2,8,6,0,2,0,0,0,21,10,10,9,2,9,18,50.0,9,3,0,3,5,26,9,0,829,58,196,475,163,33,829,11,18,61.1,12,6,664,30,2,0,0,6,8,2,12,5,10,0,0,0,42,8,12,40.0,71
18,2021-12-26,15:00:00,19,Sun,Manchester City,Home,W,6,3,Leicester City,3.9,2.4,53226,Fernandinho,4-3-3,Chris Kavanagh,6,15,6,40.0,0.27,0.67,17.5,1,2,2,3.9,2.3,0.17,2.1,1.7,8,3,5,62.5,0,2.5,-0.5,0,0,0,0,0,0,0.0,14,5,0.0,20.2,3,0.0,11.3,7,0,0.0,0,10.5,722,785,92.0,11431,2871,373,387,96.4,285,299,95.3,39,59,66.1,3,1.9,1.0,9,44,15,3,29,785,737,46,7,1,2,24,18,14,11,1,0,722,2,5,27,15,4,0,3,4,1,9,5,1,0,1,2,0,7,3,1,2,4,2,14,14.3,12,5,1,4,3,10,10,0,849,30,117,511,224,39,847,16,23,69.6,13,8,714,26,1,0,0,11,9,2,24,3,3,2,0,0,23,2,3,40.0,72
19,2021-12-29,20:15:00,20,Wed,Manchester City,Away,W,1,0,Brentford,1.0,0.6,17009,Fernandinho,4-3-3,David Coote,1,12,3,25.0,0.08,0.33,19.8,0,0,0,1.0,1.0,0.08,0.0,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,2,7,28.6,12,3,25.0,37.1,5,80.0,51.4,7,1,14.3,0,2.0,664,769,86.3,10282,2691,380,411,92.5,233,266,87.6,39,65,60.0,1,0.7,1.0,8,58,11,2,31,769,718,48,11,0,2,21,26,5,4,1,0,664,3,6,21,16,0,2,2,1,0,2,2,0,0,0,0,0,11,4,2,5,4,4,6,66.7,2,7,2,5,8,19,11,0,841,32,128,405,311,23,841,7,12,58.3,7,12,658,30,0,0,0,10,12,3,21,8,4,0,0,0,45,18,15,54.5,76
20,2022-01-01,12:30:00,21,Sat,Manchester City,Away,W,2,1,Arsenal,2.2,0.9,59757,Ruben Dias,4-2-3-1,Stuart Attwell,2,14,1,7.1,0.07,1.0,18.7,0,1,1,2.2,1.4,0.11,-0.2,-0.4,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,7,9,77.8,38,6,18.4,23.4,6,33.3,37.3,15,1,6.7,1,10.8,591,673,87.8,9646,2904,304,329,92.4,232,254,91.3,45,64,70.3,0,1.0,0.8,11,52,9,2,34,673,633,38,13,2,3,9,12,5,1,0,0,591,2,6,29,24,2,0,1,2,0,3,1,0,0,1,1,0,14,7,4,3,7,8,17,47.1,9,2,1,1,2,16,23,1,772,77,228,340,209,32,771,10,18,55.6,18,8,584,34,2,0,0,5,12,2,9,2,7,1,0,0,44,16,5,76.2,71
21,2022-01-15,12:30:00,22,Sat,Manchester City,Home,W,1,0,Chelsea,0.9,0.4,53319,Kevin De Bruyne,4-2-3-1,Craig Pawson,1,11,6,54.5,0.09,0.17,16.5,1,0,0,0.9,0.9,0.09,0.1,0.1,1,0,1,100.0,1,0.6,0.6,0,0,0,0,3,5,60.0,32,6,15.6,24.1,2,0.0,14.5,8,0,0.0,2,24.0,527,625,84.3,9258,2418,230,252,91.3,222,247,89.9,56,80,70.0,1,0.9,0.5,9,33,8,2,23,625,581,41,9,1,7,17,20,9,7,0,0,527,3,9,21,16,1,3,0,1,0,2,1,0,1,0,0,0,8,5,0,5,3,3,10,30.0,7,9,1,8,3,11,10,0,696,39,164,350,190,30,696,16,25,64.0,16,13,515,22,0,0,0,11,6,3,17,3,5,0,0,0,54,16,6,72.7,56
22,2022-01-22,17:30:00,23,Sat,Manchester City,Away,D,1,1,Southampton,1.9,0.7,31178,Ruben Dias,4-3-3,Simon Hooper,1,20,5,25.0,0.05,0.2,17.5,0,0,0,1.9,1.9,0.09,-0.9,-0.9,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,1,4,25.0,28,2,14.3,28.0,2,0.0,18.5,4,0,0.0,2,26.0,725,839,86.4,12301,3661,353,387,91.2,308,350,88.0,54,72,75.0,1,1.6,1.5,15,79,17,2,55,839,794,45,15,2,7,45,15,11,2,1,0,725,0,15,39,34,2,1,1,1,0,2,0,1,0,0,1,0,21,10,4,11,6,9,17,52.9,8,11,1,10,8,29,5,0,931,30,172,405,363,44,931,15,27,55.6,16,8,718,53,0,0,0,5,13,0,45,8,10,0,0,0,61,13,11,54.2,74
23,2022-02-09,19:45:00,24,Wed,Manchester City,Home,W,2,0,Brentford,1.8,0.6,51658,Ruben Dias,4-3-3,Darren England,2,14,6,42.9,0.07,0.17,19.8,0,1,1,1.8,1.0,0.07,0.2,0.0,2,0,2,100.0,1,0.2,0.2,0,0,0,0,1,10,10.0,25,3,32.0,34.4,2,100.0,57.5,5,0,0.0,0,0.0,654,761,85.9,11006,2674,321,346,92.8,283,319,88.7,44,77,57.1,0,0.6,0.9,10,76,10,2,39,761,702,57,22,1,10,24,23,9,5,0,0,654,2,9,25,15,3,3,3,1,0,2,0,0,0,1,1,0,7,5,0,6,1,5,8,62.5,3,10,2,8,8,15,7,0,847,34,131,436,283,29,846,9,19,47.4,12,3,643,38,0,0,0,7,12,2,24,8,5,1,0,0,41,19,8,70.4,74
24,2022-02-12,17:30:00,25,Sat,Manchester City,Away,W,4,0,Norwich City,4.9,0.5,27010,Fernandinho,4-3-3,Andre Marriner,4,21,8,38.1,0.19,0.5,11.8,0,0,1,4.9,4.0,0.21,-0.9,0.0,3,0,3,100.0,1,0.3,0.3,0,0,0,0,2,5,40.0,33,6,15.2,27.0,4,0.0,16.0,7,0,0.0,3,24.3,661,752,87.9,11863,3300,290,307,94.5,290,316,91.8,66,93,71.0,2,3.9,2.1,18,70,15,2,49,752,714,36,8,0,5,26,11,12,5,0,0,661,2,11,38,27,3,1,6,1,0,6,4,0,0,2,0,0,5,3,4,1,0,4,10,40.0,6,7,1,6,11,16,9,0,825,51,188,357,285,48,824,16,19,84.2,15,8,656,48,2,0,0,8,6,2,26,11,3,1,0,0,55,12,13,48.0,71
25,2022-02-19,17:30:00,26,Sat,Manchester City,Home,L,2,3,Tottenham,2.6,1.1,53201,Ilkay Gundogan,4-3-3,Anthony Taylor,2,20,3,15.0,0.05,0.33,16.2,0,1,1,2.6,1.8,0.09,-0.6,-0.8,5,3,2,40.0,0,3.0,0.0,0,0,0,0,0,1,0.0,19,2,5.3,22.3,3,0.0,19.0,3,0,0.0,1,39.0,721,823,87.6,12710,2842,317,345,91.9,346,372,93.0,48,76,63.2,0,1.0,2.2,12,100,23,6,52,823,773,49,9,0,6,42,23,10,5,0,0,721,1,12,40,31,2,5,2,0,0,3,3,0,0,0,0,0,13,10,3,9,1,8,10,80.0,2,4,0,4,9,22,2,0,907,20,74,411,425,60,906,12,20,60.0,16,5,717,52,0,0,0,5,6,1,42,9,10,0,0,0,54,13,9,59.1,71
26,2022-02-26,17:30:00,27,Sat,Manchester City,Away,W,1,0,Everton,1.9,0.5,39105,Ilkay Gundogan,4-3-3,Paul Tierney,1,13,8,61.5,0.08,0.13,16.3,0,0,0,1.9,1.9,0.15,-0.9,-0.9,2,0,2,100.0,1,0.3,0.3,0,0,0,0,0,9,0.0,27,5,33.3,32.3,5,0.0,19.4,8,1,12.5,0,5.0,619,721,85.9,10291,2410,287,308,93.2,267,296,90.2,46,73,63.0,0,1.0,1.3,8,48,9,1,36,721,683,36,11,0,1,23,15,4,1,0,1,619,2,11,24,20,1,1,2,0,0,2,2,0,0,0,0,0,17,8,10,5,2,4,13,30.8,9,2,1,1,12,29,19,0,811,52,193,375,251,30,811,17,21,81.0,10,18,610,34,2,0,0,14,7,2,23,12,8,0,0,0,57,17,7,70.8,67
